T0
39.984702,116.318417,3:4
39.984683,116.31845,3:10
39.984686,116.318417,3:15
39.984688,116.318385,3:20
39.984655,116.318263,3:25
39.984611,116.318026,3:30
39.984608,116.317761,3:35
39.984563,,3:40
39.984539,116.317294,3:45
T1
40.008304,116.319876,9:59
40.008413,116.319962,10:4
40.007171,116.319458,10:9
40.007209,116.319484,10:14
40.007287,116.31959,10:19
40.007366,116.319727,10:24
40.007429,116.319873,10:29
40.007499,116.320013,10:34
40.007514,116.320165,10:39
40.007578,116.320176,10:44
40.007694,116.320214,10:49
